,Dates,Location,Opposition,Outcome,defendingDict,goalsAgainst,goalsFor,opposingPlayers,starsPlayers
21,2019-11-20T01:30:00Z,home,23,W,"{1: 'right', 2: 'left', 3: 'right'}",1,6,"[[8474818, 8478444, 8475690, 8476468, 8476410, 8477937, 8470626, 8471303, 8480012, 8480800, 8476466, 8479442, 8477500, 8474574, 8477213, 8476871, 8474291, 8478874, 8480147, 8476344, 8479772], [8474593]]","[[8476467, 8480036, 8471284, 8470621, 8471699, 8476889, 8473994, 8471260, 8470794, 8479381, 8477450, 8476902, 8478495, 8475413, 8476166, 8471392, 8471228, 8475794, 8477406, 8477810], [8471750]]"
22,2019-11-22T01:30:00Z,home,52,W,"{1: 'right', 2: 'left', 3: 'right'}",3,5,"[[8477359, 8480145, 8474579, 8475179, 8477429, 8476392, 8481019, 8471218, 8477940, 8478458, 8479339, 8476400, 8477504, 8481649, 8476460, 8478398, 8473618, 8476470, 8475868, 8477472, 8478487], [8476945]]","[[8476467, 8480036, 8471284, 8470621, 8471699, 8476889, 8477406, 8473994, 8471260, 8470794, 8477450, 8476902, 8478495, 8475413, 8476166, 8471392, 8471228, 8475794, 8477810], [8471750]]"
23,2019-11-24T01:00:00Z,home,16,W,"{1: 'right', 2: 'left', 3: 'right', 4: 'left'}",1,2,"[[8470281, 8476473, 8476874, 8470607, 8477330, 8479337, 8474250, 8478440, 8473604, 8476438, 8477846, 8475177, 8476979, 8480144, 8476381, 8481523, 8474141, 8479423, 8476886], [8475215]]","[[8476467, 8475906, 8480036, 8471284, 8470621, 8471699, 8476889, 8477406, 8473994, 8471260, 8470794, 8477450, 8476902, 8478449, 8475413, 8471392, 8471228, 8475794, 8478495, 8477810, 8476166], [8471418]]"
24,2019-11-26T01:30:00Z,home,54,W,"{1: 'right', 2: 'left', 3: 'right'}",2,4,"[[8475188, 8479996, 8479980, 8475750, 8475191, 8475236, 8474207, 8471669, 8477447, 8477478, 8475913, 8474157, 8476448, 8471817, 8476539, 8477220, 8477949, 8477931, 8468674], [8476876]]","[[8476467, 8475906, 8480036, 8471284, 8470621, 8471699, 8476889, 8477406, 8473994, 8471260, 8470794, 8477450, 8476902, 8478449, 8478495, 8471392, 8471228, 8475794, 8475413, 8477810, 8476166], [8471750]]"
25,2019-11-27T01:00:00Z,away,16,L,"{1: 'left', 2: 'right', 3: 'left'}",3,0,"[[8470281, 8476473, 8476874, 8470607, 8477330, 8479337, 8474250, 8473604, 8476438, 8477846, 8478146, 8475177, 8476979, 8480144, 8476381, 8481523, 8474141, 8479423, 8478440, 8476886], [8470645]]","[[8476467, 8475906, 8480036, 8471284, 8470621, 8471699, 8476889, 8477406, 8473994, 8471260, 8470794, 8477450, 8476902, 8478449, 8478495, 8476166, 8471228, 8475794, 8475413, 8477810, 8471392], [8471418]]"
26,2019-11-30T01:30:00Z,home,19,L,"{1: 'right', 2: 'left', 3: 'right'}",3,1,"[[8475170, 8477482, 8475768, 8480023, 8470151, 8475098, 8477573, 8474565, 8476907, 8478407, 8471426, 8477964, 8476884, 8476892, 8474102, 8477455, 8475753, 8475158, 8474125, 8474145, 8478040], [8474596]]","[[8476467, 8475906, 8480036, 8471284, 8470621, 8471699, 8476889, 8473994, 8471260, 8470794, 8477450, 8476902, 8478449, 8478495, 8475413, 8471392, 8471228, 8475794, 8477406, 8477810, 8476166], [8471750]]"
27,2019-12-01T20:00:00Z,away,30,L,"{1: 'left', 2: 'right', 3: 'left', 4: 'right'}",3,2,"[[8477987, 8469459, 8470610, 8470595, 8478493, 8475722, 8475220, 8478413, 8479316, 8470600, 8477369, 8477942, 8476856, 8476463, 8475692, 8477451, 8474716, 8476779, 8476437, 8476372], [8471774]]","[[8476467, 8475906, 8480036, 8471284, 8470621, 8471699, 8476889, 8477406, 8473994, 8471260, 8470794, 8477450, 8476902, 8478449, 8478495, 8471392, 8471228, 8475794, 8475413, 8476166], [8471750]]"
28,2019-12-04T01:00:00Z,away,52,L,"{1: 'left', 2: 'right', 3: 'left'}",5,1,"[[8475868, 8477359, 8480145, 8474579, 8477429, 8476392, 8481019, 8477472, 8471218, 8477940, 8478458, 8479339, 8476400, 8477504, 8481649, 8476460, 8478398, 8473618, 8476799, 8475179, 8478487], [8476945]]","[[8476467, 8475906, 8480036, 8471284, 8470621, 8471699, 8476889, 8477406, 8473994, 8471260, 8470794, 8477450, 8476902, 8478449, 8478495, 8471392, 8471228, 8475794, 8475413, 8476166], [8471418]]"
29,2019-12-06T01:30:00Z,home,52,W,"{1: 'right', 2: 'left', 3: 'right', 4: 'left'}",2,3,"[[8475868, 8477359, 8480145, 8474579, 8477429, 8476392, 8481019, 8471218, 8477940, 8478458, 8479339, 8476400, 8477504, 8481649, 8476460, 8478398, 8473618, 8476470, 8476799, 8476406, 8477472], [8476945]]","[[8476467, 8475906, 8480036, 8471284, 8470621, 8471699, 8476889, 8477406, 8473994, 8471260, 8470794, 8477450, 8476902, 8478449, 8478495, 8475413, 8471392, 8475794, 8476166, 8471228], [8471750]]"
30,2019-12-08T02:00:00Z,home,2,W,"{1: 'right', 2: 'left', 3: 'right'}",1,3,"[[8475181, 8476917, 8477506, 8474586, 8473544, 8474573, 8478445, 8473504, 8474709, 8478463, 8476429, 8478038, 8475314, 8475754, 8477527, 8473463, 8475231, 8470187, 8480865, 8477936], [8471306]]","[[8476467, 8475906, 8480036, 8471284, 8470621, 8471699, 8476889, 8477406, 8473994, 8471260, 8470794, 8477450, 8476902, 8478449, 8478495, 8471392, 8471228, 8475794, 8475413, 8476166], [8471750]]"
31,2019-12-11T01:30:00Z,home,1,W,"{1: 'right', 2: 'left', 3: 'right'}",0,2,"[[8472382, 8477355, 8475791, 8479291, 8474190, 8471233, 8476399, 8475151, 8477509, 8476923, 8478401, 8477425, 8475222, 8479407, 8474056, 8481559, 8480003, 8477038, 8478841, 8477401, 8479415], [8478406]]","[[8476467, 8475906, 8480036, 8471284, 8470621, 8471699, 8476889, 8477406, 8473994, 8471260, 8470794, 8477450, 8476902, 8478449, 8478495, 8471392, 8471228, 8475794, 8475413, 8476166], [8471750]]"
32,2019-12-14T01:00:00Z,home,54,L,"{1: 'right', 2: 'left', 3: 'right', 4: 'left'}",3,2,"[[8475188, 8468674, 8477458, 8475750, 8475191, 8476905, 8474207, 8471669, 8477447, 8477478, 8475913, 8474157, 8476448, 8471817, 8476539, 8477220, 8477949, 8477931, 8479996, 8479980, 8475236], [8476876]]","[[8476467, 8480036, 8471284, 8470621, 8471699, 8476889, 8477406, 8473994, 8471260, 8470794, 8477450, 8476902, 8478449, 8478495, 8476166, 8471392, 8471228, 8475794, 8475906, 8475413], [8471750]]"
33,2019-12-14T23:30:00Z,away,18,W,"{1: 'right', 2: 'left', 3: 'right'}",1,4,"[[8475176, 8469465, 8474134, 8474068, 8476887, 8476925, 8474009, 8475225, 8475714, 8476428, 8478508, 8476278, 8475766, 8475625, 8479371, 8474600, 8475793, 8475168, 8475218, 8475798], [8471469]]","[[8476467, 8475906, 8480036, 8471284, 8470621, 8471699, 8476889, 8473994, 8471260, 8470794, 8477450, 8476902, 8478449, 8478495, 8475413, 8471392, 8471228, 8475794, 8477406, 8476166], [8471418]]"
34,2019-12-17T01:30:00Z,home,22,L,"{1: 'right', 2: 'left', 3: 'right'}",2,1,"[[8471729, 8476457, 8481638, 8476326, 8476915, 8471707, 8475772, 8477498, 8477934, 8475163, 8475178, 8478451, 8476472, 8478452, 8474040, 8481813, 8476454, 8478402, 8475430, 8479466, 8476440], [8475156]]","[[8476467, 8475906, 8480036, 8471284, 8470621, 8471699, 8476889, 8477406, 8473994, 8471260, 8470794, 8477450, 8476902, 8478449, 8478495, 8471392, 8471228, 8475794, 8475413, 8476166], [8471750]]"
35,2019-12-20T00:00:00Z,away,14,W,"{1: 'right', 2: 'left', 3: 'right', 4: 'left'}",3,4,"[[8474870, 8476975, 8474034, 8473986, 8476292, 8478010, 8474031, 8477409, 8474151, 8476826, 8480172, 8478477, 8478519, 8475167, 8478416, 8476453, 8474564, 8479410, 8474568], [8476883]]","[[8476467, 8475906, 8480036, 8471284, 8470621, 8471699, 8476889, 8477406, 8473994, 8471260, 8470794, 8477450, 8476902, 8478449, 8478495, 8471392, 8471228, 8475794, 8475413, 8476166], [8471418]]"
36,2019-12-21T00:00:00Z,away,13,L,"{1: 'left', 2: 'right', 3: 'left'}",7,4,"[[8477384, 8471735, 8477932, 8471873, 8474098, 8470619, 8475792, 8476456, 8475796, 8476952, 8477493, 8476875, 8476389, 8477346, 8478569, 8474149, 8474884, 8478366, 8477963, 8478843], [8475683]]","[[8476467, 8475906, 8480036, 8471284, 8470621, 8471699, 8476889, 8477406, 8473994, 8471260, 8470794, 8477450, 8476902, 8478449, 8478495, 8475413, 8476166, 8475794, 8471392, 8471228], [8471750, 8471418]]"
